RXN-8997 AFE_1636
RXN-8999 AFE_1636
RXN-8994 AFE_1636
RXN-8993 AFE_1636
RXN-8996 AFE_1636
RXN-8995 AFE_1636
RIBONUCLEOSIDE-DIP-REDUCTI-RXN AFE_0466
UDPREDUCT-RXN AFE_0466
ALARACECAT-RXN AFE_0290
THRESYN-RXN AFE_2563
CYT-UBIQUINOL-OXID-RXN AFE_2092
RXN0-5266 AFE_2092
GLUTCYSLIG-RXN AFE_0046
DTDPGLUCOSEPP-RXN AFE_3038
GDPMANDEHYDRA-RXN AFE_0133
GDP-4-DEHYDRO-D-RHAMNOSE-REDUCTASE-RXN AFE_0133
TRANS-RXN9AR-16525 AFE_0165
ACETOLACTREDUCTOISOM-RXN AFE_2293
ACETOOHBUTREDUCTOISOM-RXN AFE_2293
ARGINYLTRANSFERASE-RXN AFE_2779
KDO-8PPHOSPHAT-RXN AFE_0081
UDPACYLGLCNACDEACETYL-RXN AFE_2805
PHOSCHOL-RXN AFE_2750
DNA-DIRECTED-DNA-POLYMERASE-RXN AFE_2580
PEPSYNTH-RXN AFE_1269
5-FORMYL-THF-CYCLO-LIGASE-RXN AFE_0956
KDO-8PSYNTH-RXN AFE_2193
3.2.2.24-RXN AFE_1559
RXN-1981 AFE_3169
RXN1G-138 AFE_1177
RXN1G-132 AFE_1177
RXN1G-236 AFE_1177
RXN-9653 AFE_1177
RXN-9654 AFE_1177
3-OXOACYL-ACP-SYNTH-BASE-RXN AFE_1177
RXN-9632 AFE_1177
RXN1G-840 AFE_1177
RXN1G-218 AFE_1177
RXN-9516 AFE_1177
RXN-9535 AFE_1177
RXN-9539 AFE_1177
3-OXOACYL-ACP-SYNTH-RXN AFE_1177
2.3.1.41-RXN AFE_1177
RXN1G-1003 AFE_1177
RXN1G-26 AFE_1177
RXN1G-324 AFE_1177
MALONYL-ACPDECARBOX-RXN AFE_1177
RXN1G-306 AFE_1177
RXN1G-460 AFE_1177
RXN-9531 AFE_1177
RXN-9648 AFE_1177
RXN-9523 AFE_1177
RXN-9650 AFE_1177
RXN-9527 AFE_1177
RXN-9652 AFE_1177
RXN-9651 AFE_1177
TRIOSEPISOMERIZATION-RXN AFE_0472
DNA-DIRECTED-DNA-POLYMERASE-RXN AFE_0451
3.5.1.88-RXN AFE_2599
FGAMSYN-RXN AFE_0748
3.2.1.52-RXN AFE_0283
RXN0-5226 AFE_0283
TRANS-RXN-139 AFE_3203
TRNA-GUANINE-N1--METHYLTRANSFERASE-RXN AFE_0255
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN AFE_2195
RXN-10717 AFE_2195
DNA-DIRECTED-DNA-POLYMERASE-RXN AFE_0011
GLUTAMATE-N-ACETYLTRANSFERASE-RXN AFE_2802
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN AFE_0071
1.14.19.1-RXN AFE_1128
DIAMINOPIMDECARB-RXN AFE_3054
TRANS-RXN9AR-16490 AFE_0678
PEPDEPHOS-RXN AFE_1284
TRANS-RXN9AR-16490 AFE_1654
6PGLUCONOLACT-RXN AFE_0275
PHOSPHASERDECARB-RXN AFE_2292
ADDALT-RXN AFE_2267
ADENODEAMIN-RXN AFE_2267
DIHYDRODIPICSYN-RXN AFE_0744
2TRANSKETO-RXN AFE_1243
1TRANSKETO-RXN AFE_1243
RXN-9583 AFE_1243
SPERMIDINESYN-RXN AFE_2870
RXN-22 AFE_3056
ARGSUCCINLYA-RXN AFE_3056
CTPSYN-RXN AFE_2194
ISOCITDEH-RXN AFE_2613
RXN-8642 AFE_2613
RXN-9951 AFE_2613
3.1.26.5-RXN AFE_2990
THIOREDOXIN-REDUCT-NADPH-RXN AFE_2657
AMINOCYL-TRNA-HYDROLASE-RXN AFE_0951
HOMOCITRATE-SYNTHASE-RXN AFE_1578
2.1.1.72-RXN AFE_3140
RXN0-4261 AFE_2470
PHOSGLYPHOS-RXN AFE_3083
3.4.21.92-RXN AFE_2518
3.6.3.44-RXN AFE_0752
H2SOXIREDPYRO-RXN AFE_0920
1.97.1.3-RXN AFE_0920
RXN-8269 AFE_0920
RXN-11302 AFE_0535
RXN-11351 AFE_0535
RXN-11065 AFE_0535
3.4.16.4-RXN AFE_0535
UNDECAPRENOL-KINASE-RXN AFE_2402
DIHYDROXYISOVALDEHYDRAT-RXN AFE_2378
DIHYDROXYMETVALDEHYDRAT-RXN AFE_2378
